OrderID,CustomerID,EmployeeID,OrderDate,ShipperID
10248.0,90 ,5 ,7/4/1996 ,3 
10249.0,81 ,6 ,7/5/1996 ,1 
10250.0,34 ,4 ,7/8/1996 ,2 
10251.0,84 ,3 ,7/8/1996 ,1 
10252.0,76 ,4 ,7/9/1996 ,2 
10253.0,34 ,3 ,7/10/1996 ,2 
10254.0,14 ,5 ,7/11/1996 ,2 
10255.0,68 ,9 ,7/12/1996 ,3 
10256.0,88 ,3 ,7/15/1996 ,2 
10257.0,35 ,4 ,7/16/1996 ,3 
10258.0,20 ,1 ,7/17/1996 ,1 
10259.0,13 ,4 ,7/18/1996 ,3 
10260.0,55 ,4 ,7/19/1996 ,1 
10261.0,61 ,4 ,7/19/1996 ,2 
10262.0,65 ,8 ,7/22/1996 ,3 
10263.0,20 ,9 ,7/23/1996 ,3 
10264.0,24 ,6 ,7/24/1996 ,3 
10265.0,7 ,2 ,7/25/1996 ,1 
10266.0,87 ,3 ,7/26/1996 ,3 
10267.0,25 ,4 ,7/29/1996 ,1 
10268.0,33 ,8 ,7/30/1996 ,3 
10269.0,89 ,5 ,7/31/1996 ,1 
10270.0,87 ,1 ,8/1/1996 ,1 
10271.0,75 ,6 ,8/1/1996 ,2 
10272.0,65 ,6 ,8/2/1996 ,2 
10273.0,63 ,3 ,8/5/1996 ,3 
10274.0,85 ,6 ,8/6/1996 ,1 
10275.0,49 ,1 ,8/7/1996 ,1 
10276.0,80 ,8 ,8/8/1996 ,3 
10277.0,52 ,2 ,8/9/1996 ,3 
10278.0,5 ,8 ,8/12/1996 ,2 
10279.0,44 ,8 ,8/13/1996 ,2 
10280.0,5 ,2 ,8/14/1996 ,1 
10281.0,69 ,4 ,8/14/1996 ,1 
10282.0,69 ,4 ,8/15/1996 ,1 
10283.0,46 ,3 ,8/16/1996 ,3 
10284.0,44 ,4 ,8/19/1996 ,1 
10285.0,63 ,1 ,8/20/1996 ,2 
10286.0,63 ,8 ,8/21/1996 ,3 
10287.0,67 ,8 ,8/22/1996 ,3 
10288.0,66 ,4 ,8/23/1996 ,1 
10289.0,11 ,7 ,8/26/1996 ,3 
10290.0,15 ,8 ,8/27/1996 ,1 
10291.0,61 ,6 ,8/27/1996 ,2 
10292.0,81 ,1 ,8/28/1996 ,2 
10293.0,80 ,1 ,8/29/1996 ,3 
10294.0,65 ,4 ,8/30/1996 ,2 
10295.0,85 ,2 ,9/2/1996 ,2 
10296.0,46 ,6 ,9/3/1996 ,1 
10297.0,7 ,5 ,9/4/1996 ,2 
10298.0,37 ,6 ,9/5/1996 ,2 
10299.0,67 ,4 ,9/6/1996 ,2 
10300.0,49 ,2 ,9/9/1996 ,2 
10301.0,86 ,8 ,9/9/1996 ,2 
10302.0,76 ,4 ,9/10/1996 ,2 
10303.0,30 ,7 ,9/11/1996 ,2 
10304.0,80 ,1 ,9/12/1996 ,2 
10305.0,55 ,8 ,9/13/1996 ,3 
10306.0,69 ,1 ,9/16/1996 ,3 
10307.0,48 ,2 ,9/17/1996 ,2 
10308.0,2 ,7 ,9/18/1996 ,3 
10309.0,37 ,3 ,9/19/1996 ,1 
10310.0,77 ,8 ,9/20/1996 ,2 
10311.0,18 ,1 ,9/20/1996 ,3 
10312.0,86 ,2 ,9/23/1996 ,2 
10313.0,63 ,2 ,9/24/1996 ,2 
10314.0,65 ,1 ,9/25/1996 ,2 
10315.0,38 ,4 ,9/26/1996 ,2 
10316.0,65 ,1 ,9/27/1996 ,3 
10317.0,48 ,6 ,9/30/1996 ,1 
10318.0,38 ,8 ,10/1/1996 ,2 
10319.0,80 ,7 ,10/2/1996 ,3 
10320.0,87 ,5 ,10/3/1996 ,3 
10321.0,38 ,3 ,10/3/1996 ,2 
10322.0,58 ,7 ,10/4/1996 ,3 
10323.0,39 ,4 ,10/7/1996 ,1 
10324.0,71 ,9 ,10/8/1996 ,1 
10325.0,39 ,1 ,10/9/1996 ,3 
10326.0,8 ,4 ,10/10/1996 ,2 
10327.0,24 ,2 ,10/11/1996 ,1 
10328.0,28 ,4 ,10/14/1996 ,3 
10329.0,75 ,4 ,10/15/1996 ,2 
10330.0,46 ,3 ,10/16/1996 ,1 
10331.0,9 ,9 ,10/16/1996 ,1 
10332.0,51 ,3 ,10/17/1996 ,2 
10333.0,87 ,5 ,10/18/1996 ,3 
10334.0,84 ,8 ,10/21/1996 ,2 
10335.0,37 ,7 ,10/22/1996 ,2 
10336.0,60 ,7 ,10/23/1996 ,2 
10337.0,25 ,4 ,10/24/1996 ,3 
10338.0,55 ,4 ,10/25/1996 ,3 
10339.0,51 ,2 ,10/28/1996 ,2 
10340.0,9 ,1 ,10/29/1996 ,3 
10341.0,73 ,7 ,10/29/1996 ,3 
10342.0,25 ,4 ,10/30/1996 ,2 
10343.0,44 ,4 ,10/31/1996 ,1 
10344.0,89 ,4 ,11/1/1996 ,2 
10345.0,63 ,2 ,11/4/1996 ,2 
10346.0,65 ,3 ,11/5/1996 ,3 
10347.0,21 ,4 ,11/6/1996 ,3 
10348.0,86 ,4 ,11/7/1996 ,2 
10349.0,75 ,7 ,11/8/1996 ,1 
10350.0,41 ,6 ,11/11/1996 ,2 
10351.0,20 ,1 ,11/11/1996 ,1 
10352.0,28 ,3 ,11/12/1996 ,3 
10353.0,59 ,7 ,11/13/1996 ,3 
10354.0,58 ,8 ,11/14/1996 ,3 
10355.0,4 ,6 ,11/15/1996 ,1 
10356.0,86 ,6 ,11/18/1996 ,2 
10357.0,46 ,1 ,11/19/1996 ,3 
10358.0,41 ,5 ,11/20/1996 ,1 
10359.0,72 ,5 ,11/21/1996 ,3 
10360.0,7 ,4 ,11/22/1996 ,3 
10361.0,63 ,1 ,11/22/1996 ,2 
10362.0,9 ,3 ,11/25/1996 ,1 
10363.0,17 ,4 ,11/26/1996 ,3 
10364.0,19 ,1 ,11/26/1996 ,1 
10365.0,3 ,3 ,11/27/1996 ,2 
10366.0,29 ,8 ,11/28/1996 ,2 
10367.0,83 ,7 ,11/28/1996 ,3 
10368.0,20 ,2 ,11/29/1996 ,2 
10369.0,75 ,8 ,12/2/1996 ,2 
10370.0,14 ,6 ,12/3/1996 ,2 
10371.0,41 ,1 ,12/3/1996 ,1 
10372.0,62 ,5 ,12/4/1996 ,2 
10373.0,37 ,4 ,12/5/1996 ,3 
10374.0,91 ,1 ,12/5/1996 ,3 
10375.0,36 ,3 ,12/6/1996 ,2 
10376.0,51 ,1 ,12/9/1996 ,2 
10377.0,72 ,1 ,12/9/1996 ,3 
10378.0,24 ,5 ,12/10/1996 ,3 
10379.0,61 ,2 ,12/11/1996 ,1 
10380.0,37 ,8 ,12/12/1996 ,3 
10381.0,46 ,3 ,12/12/1996 ,3 
10382.0,20 ,4 ,12/13/1996 ,1 
10383.0,4 ,8 ,12/16/1996 ,3 
10384.0,5 ,3 ,12/16/1996 ,3 
10385.0,75 ,1 ,12/17/1996 ,2 
